food_name,energy_kcal ,fat_g,saturates_g,carbohydrate_g,sugars_g,starch_g,fibre_g,protein_g,salt_g
"Cheese, Quark",72,0.0,0.00,3.8,3.8,0.0,0.0,14.3,0.11
"Cheese, Red Leicester",401,33.6,21.10,0.1,0.1,0.0,0.0,24.5,1.66
"Cheese, Red Windsor",399,33.7,21.10,0.0,0.0,0.0,0.0,23.9,1.73
"Cheese, Ricotta",144,11.0,6.90,1.9,1.9,0.0,0.0,9.3,0.25
"Cheese, Roquefort",373,32.9,20.70,0.0,0.0,0.0,0.0,19.3,4.18
"Cheese, Sage Derby",400,33.9,21.20,0.1,0.1,0.0,0.0,23.7,1.50
"Cheese, spreadable, full fat, soft, white",252,24.4,15.97,2.9,2.9,0.0,0.0,5.2,0.65
"Cheese, spreadable, medium fat, soft, white",153,11.2,7.35,3.3,3.3,0.0,0.0,9.6,0.68
"Cheese, spreadable, soft white, low fat",98,3.6,2.40,4.8,4.8,0.0,0.0,11.7,0.65
"Cheese, Stilton, blue",408,35.0,23.02,0.1,0.1,0.0,0.0,23.3,1.97
"Cheese, Stilton, white",360,31.3,19.60,0.1,0.1,0.0,0.0,19.5,1.93
"Cheese, Wensleydale",380,31.8,19.70,0.1,0.1,0.0,0.0,23.3,1.10
"Cheese, White Cheshire",378,31.8,21.23,0.1,0.1,0.0,0.0,22.9,1.23
"Cheese, white, average",380,31.8,21.10,0.1,0.1,0.0,0.0,23.3,1.26
"Cheesecake, fruit, frozen",297,16.2,9.44,33.2,24.0,9.1,1.0,4.0,0.37
"Cheesecake, fruit, individual",269,12.3,7.54,32.7,24.4,8.3,1.6,6.1,0.23
"Cheesecake, homemade",327,22.8,13.18,23.9,14.8,9.1,0.6,6.3,0.67
"Chelsea buns, homemade",364,12.5,4.08,53.9,20.3,33.5,1.6,8.3,0.35
"Cherries, flesh and skin, raw",73,0.4,0.08,14.6,14.6,0.0,1.9,1.3,0.00
"Cherries, flesh and skin, raw, weighed with stones",67,0.4,0.07,13.4,13.4,0.0,1.7,1.1,0.00
"Cherries, glace",312,0.0,0.00,74.1,61.2,0.0,1.9,0.4,0.07
"Cherries, stewed with sugar",88,0.1,0.00,20.4,20.4,0.0,0.7,0.7,0.00
"Cherries, stewed with sugar, weighed with stones",76,0.1,0.00,17.6,17.6,0.0,0.6,0.6,0.00
"Cherries, stewed without sugar",48,0.1,0.00,10.1,10.1,0.0,0.8,0.8,0.00
"Cherries, stewed without sugar, weighed with stones",41,0.1,0.00,8.5,8.5,0.0,0.7,0.6,0.00
"Cherries, West Indian, flesh only",30,0.4,0.07,5.0,5.0,0.0,1.1,0.4,0.01
"Chervil, dried",335,3.9,0.77,37.8,37.8,0.0,27.9,23.2,0.21
"Chestnuts, dried",339,5.1,0.90,63.3,12.6,50.7,11.3,4.3,0.05
"Chestnuts, kernel only, raw",181,2.7,0.50,33.6,6.7,26.9,6.8,2.3,0.03
"Chestnuts, kernel only, raw, weighed with shells",150,2.2,0.40,27.9,5.5,22.4,5.6,1.9,0.02
"Chevda/chevra/chewra, homemade",N,31.8,4.71,N,N,28.7,4.2,20.4,0.29
"Chicken breast/steak, coated, baked",234,11.6,1.78,14.4,1.2,13.3,0.8,17.7,1.17
"Chicken chasseur, homemade",93,1.5,0.25,2.2,1.1,1.1,0.2,13.6,0.33
"Chicken chasseur, homemade, weighed with bone",83,1.3,0.22,2.0,1.0,1.0,0.2,12.1,0.30
"Chicken fricassee, homemade",116,6.1,2.40,2.6,1.5,1.1,0.5,10.1,0.66
"Chicken fricassee, reduced fat, homemade",101,4.2,1.19,2.8,1.7,1.1,0.5,10.4,0.66
"Chicken in white sauce, made with semi-skimmed milk",156,7.7,3.42,4.6,2.2,2.5,0.1,16.9,0.22
"Chicken in white sauce, made with whole milk",168,9.0,4.22,4.8,2.1,2.7,0.1,16.9,0.23
"Chicken pieces, coated, takeaway",268,14.1,2.32,16.0,0.0,16.0,1.3,18.5,1.34
"Chicken portions, battered, deep fried, takeaway",238,12.8,3.07,4.4,0.0,4.4,2.9,24.8,1.19
"Chicken satay, takeaway",195,10.3,3.02,2.9,1.6,1.3,2.0,21.7,1.53
Chicken slices,113,1.5,0.40,1.6,0.2,1.4,0.3,23.2,1.45
"Chicken soup, cream of, canned, condensed, as served",42,2.9,0.40,2.8,0.7,2.1,0.0,1.3,0.63
"Chicken wings, marinated, meat and skin, barbecued",276,16.6,4.60,3.9,3.5,0.5,0.5,27.4,0.98
"Chicken wings, marinated, meat and skin, barbecued, weighed with bone",179,10.8,3.00,2.5,2.2,0.3,0.3,17.8,0.63
"Chicken, breast, casseroled, meat and skin",184,8.5,2.40,0.0,0.0,0.0,0.0,26.9,0.15
"Chicken, breast, casseroled, meat and skin, weighed with bone",165,7.6,2.10,0.0,0.0,0.0,0.0,24.2,0.14
"Chicken, breast, casseroled, meat only",160,5.2,1.50,0.0,0.0,0.0,0.0,28.4,0.15
"Chicken, breast, grilled with skin, meat only",147,3.1,0.90,0.0,0.0,0.0,0.0,29.8,0.15
"Chicken, breast, grilled without skin, meat only",148,2.2,0.60,0.0,0.0,0.0,0.0,31.9,0.14
"Chicken, breast, grilled, meat and skin",173,6.4,0.90,0.0,0.0,0.0,0.0,28.9,0.15
"Chicken, breast, strips, stir-fried in corn oil",160,4.6,0.94,0.0,0.0,0.0,0.0,29.8,0.15
"Chicken, corn-fed, raw, dark meat only",143,7.2,2.10,0.0,0.0,0.0,0.0,19.5,0.20
"Chicken, corn-fed, raw, light meat only",117,2.8,0.80,0.0,0.0,0.0,0.0,23.1,0.23
"Chicken, corn-fed, raw, meat only",129,4.8,1.40,0.0,0.0,0.0,0.0,21.4,0.21
"Chicken, corn-fed, raw, skin only",515,52.7,15.20,0.0,0.0,0.0,0.0,10.1,0.13
"Chicken, corn-fed, roasted, dark meat only",184,9.8,2.80,0.0,0.0,0.0,0.0,24.0,0.24
"Chicken, corn-fed, roasted, light meat only",141,4.2,1.20,0.0,0.0,0.0,0.0,25.8,0.23
"Chicken, corn-fed, roasted, meat only",164,7.2,2.10,0.0,0.0,0.0,0.0,24.9,0.23
"Chicken, dark meat, raw",109,2.8,0.80,0.0,0.0,0.0,0.0,20.9,0.23
"Chicken, dark meat, roasted",196,10.9,2.89,0.0,0.0,0.0,0.0,24.4,0.25
"Chicken, drumsticks, casseroled, meat and skin",217,14.2,3.80,0.0,0.0,0.0,0.0,22.3,0.19
"Chicken, drumsticks, casseroled, meat and skin, weighed with bone",141,9.2,2.60,0.0,0.0,0.0,0.0,14.5,0.13
"Chicken, drumsticks, casseroled, meat only",185,9.7,2.60,0.0,0.0,0.0,0.0,24.3,0.18
"Chicken, drumsticks, roasted, meat and skin",185,9.1,2.50,0.0,0.0,0.0,0.0,25.9,0.33
"Chicken, drumsticks, roasted, meat and skin, weighed with bone",116,5.7,1.50,0.0,0.0,0.0,0.0,16.3,0.20
"Chicken, drumsticks, roasted, meat only",152,5.1,1.40,0.0,0.0,0.0,0.0,26.6,0.43
"Chicken, leg quarter, casseroled, meat and skin",217,13.9,3.80,0.0,0.0,0.0,0.0,22.9,0.18
"Chicken, leg quarter, casseroled, meat and skin, weighed with bone",137,8.8,2.40,0.0,0.0,0.0,0.0,14.4,0.11
"Chicken, leg quarter, casseroled, meat only",176,8.4,2.30,0.0,0.0,0.0,0.0,25.0,0.19
"Chicken, leg quarter, raw, meat and skin",193,13.3,3.60,0.0,0.0,0.0,0.0,18.3,0.20
"Chicken, leg quarter, raw, meat and skin, weighed with bone",133,9.2,2.50,0.0,0.0,0.0,0.0,12.6,0.14
"Chicken, leg quarter, roasted, meat and skin",236,16.9,4.60,0.0,0.0,0.0,0.0,20.9,0.24
"Chicken, leg quarter, roasted, meat and skin, weighed with bone",120,8.6,2.30,0.0,0.0,0.0,0.0,10.7,0.13
"Chicken, light meat, raw",106,1.1,0.30,0.0,0.0,0.0,0.0,24.0,0.15
"Chicken, light meat, roasted",153,3.6,1.02,0.0,0.0,0.0,0.0,30.2,0.15
"Chicken, meat, average, raw",108,2.1,0.60,0.0,0.0,0.0,0.0,22.3,0.19
"Chicken, meat, average, roasted",177,7.5,2.10,0.0,0.0,0.0,0.0,27.3,0.20
"Chicken, portions, not coated, deep-fried, meat and skin",259,16.8,4.60,0.0,0.0,0.0,0.0,26.9,0.38
"Chicken, portions, not coated, deep-fried, meat and skin, weighed with bone",179,11.6,3.20,0.0,0.0,0.0,0.0,18.6,0.28
"Chicken, skin, casseroled",407,39.3,11.00,0.0,0.0,0.0,0.0,13.4,0.14
"Chicken, skin, raw",473,48.3,13.60,0.0,0.0,0.0,0.0,9.7,0.13
"Chicken, skin, roasted/grilled, dry",501,46.1,12.90,0.0,0.0,0.0,0.0,21.6,0.20
"Chicken, skin, roasted/grilled, moist",451,42.6,12.00,0.0,0.0,0.0,0.0,17.0,0.20
"Chicken, stir-fried with mushrooms and cashew nuts, homemade",162,7.0,1.31,4.3,2.1,2.3,0.9,18.8,0.81
"Chicken, stir-fried with peppers in black bean sauce, homemade",125,4.2,N,2.3,2.3,0.1,0.6,19.1,0.92
"Chicken, stir-fried with rice and vegetables, retail, reheated",131,4.6,N,15.3,3.9,11.5,1.3,6.5,N
"Chicken, thighs, casseroled, meat and skin",233,16.3,4.40,0.0,0.0,0.0,0.0,21.5,0.18
"Chicken, thighs, casseroled, meat and skin, weighed with bone",193,13.5,3.70,0.0,0.0,0.0,0.0,17.8,0.15
"Chicken, thighs, casseroled, meat only, diced",180,8.6,2.40,0.0,0.0,0.0,0.0,25.6,0.10
"Chicken, whole, corn-fed, raw, meat and skin",218,15.9,4.60,0.0,0.0,0.0,0.0,18.8,0.20
"Chicken, whole, corn-fed, raw, meat and skin, weighed with bone",141,10.3,3.00,0.0,0.0,0.0,0.0,12.2,0.13
"Chicken, whole, corn-fed, roasted, meat and skin",215,13.2,3.80,0.0,0.0,0.0,0.0,24.0,0.23
"Chicken, whole, corn-fed, roasted, meat and skin, weighed with bone",129,7.9,2.70,0.0,0.0,0.0,0.0,14.4,0.14
"Chicken, whole, raw, meat and skin",201,13.8,3.80,0.0,0.0,0.0,0.0,19.1,0.18
"Chicken, whole, raw, meat and skin, weighed with bone",131,9.0,2.50,0.0,0.0,0.0,0.0,12.4,0.11
"Chicken, whole, roasted, meat and skin",218,12.5,3.40,0.0,0.0,0.0,0.0,26.3,0.20
"Chicken, whole, roasted, meat and skin, weighed with bone",138,7.9,2.20,0.0,0.0,0.0,0.0,16.6,0.13
"Chicken, wing quarter, casseroled, meat and skin",210,12.5,3.50,0.0,0.0,0.0,0.0,24.4,0.15
"Chicken, wing quarter, casseroled, meat and skin, weighed with bone",141,8.4,2.30,0.0,0.0,0.0,0.0,16.3,0.10
"Chicken, wing quarter, casseroled, meat only",164,6.3,1.70,0.0,0.0,0.0,0.0,26.9,0.16
"Chicken, wing quarter, raw, meat and skin",193,12.4,3.50,0.0,0.0,0.0,0.0,20.3,0.15
"Chicken, wing quarter, raw, meat and skin, weighed with bone",127,8.2,2.30,0.0,0.0,0.0,0.0,13.4,0.10
"Chicken, wing quarter, roasted, meat and skin",226,14.1,3.90,0.0,0.0,0.0,0.0,24.8,0.25
"Chicken, wing quarter, roasted, meat and skin, weighed with bone",120,7.5,2.10,0.0,0.0,0.0,0.0,13.1,0.14
"Chicken/turkey pasties/slices, puff pastry",292,18.5,9.17,21.9,1.2,20.7,2.9,8.1,0.90
"Chicken/turkey pieces, coated, baked",259,13.9,2.11,17.9,1.1,16.8,2.3,14.4,0.90
"Chicory, pale variety, boiled in unsalted water",16,0.3,0.10,0.6,0.5,0.1,4.0,0.6,0.00
"Chicory, pale variety, raw",19,0.6,0.20,0.9,0.7,0.2,4.0,0.6,0.00
"Chilli con carne, homemade",124,7.5,2.90,4.2,2.8,1.2,1.1,9.3,0.25
"Chilli con carne, retail, reheated",88,4.3,1.90,4.0,0.0,4.0,1.4,7.7,0.78
"Chilli con carne, retail, reheated, with rice",116,2.7,1.17,16.6,1.6,15.0,0.8,5.9,0.47
Chilli powder,304,14.3,2.46,12.9,7.2,5.7,34.8,13.5,10.00
Chilli sauce,46,0.8,0.00,7.3,6.9,0.4,2.2,1.3,3.13
"Chilli, bean and lentil, homemade",N,2.5,0.23,10.7,3.5,7.3,N,5.3,0.10
"Chilli, Quorn, homemade",83,3.6,0.39,6.1,3.6,2.5,2.6,5.3,0.25
"Chilli, vegetable, homemade",55,0.8,0.14,8.0,3.7,3.8,2.6,2.6,0.32
Chinese 5 spice,300,8.7,1.40,24.8,1.9,22.9,41.9,9.6,0.16
"Chital, raw",89,1.9,0.60,0.0,0.0,0.0,0.0,18.1,0.09
"Chives, fresh",32,0.7,0.15,1.9,1.9,0.0,2.5,3.3,0.01
"Cho cho fritters, fried in rapeseed oil, homemade",194,12.4,2.14,15.3,3.0,12.4,0.7,4.8,0.12
"Cho cho, boiled in unsalted water",20,0.1,0.00,2.8,2.4,0.4,2.8,0.6,0.01
"Cho cho, raw",21,0.1,0.00,3.6,3.1,0.5,1.7,0.7,0.01
Chocolate covered bar with caramel and cereal,506,25.8,16.26,62.4,44.3,10.5,1.9,5.1,0.40
Chocolate covered caramel and biscuit fingers,501,23.6,13.52,66.0,43.5,11.1,2.5,4.9,0.48
Chocolate covered wafer biscuit,517,28.6,17.50,57.6,43.0,14.6,2.7,6.0,0.23
Chocolate nut spread,558,33.0,9.34,57.6,56.9,0.7,3.0,6.2,0.13
Chocolate nut sundae,N,15.0,8.94,N,29.4,N,N,2.7,0.09
Chocolate spread,583,37.7,8.13,56.7,56.7,0.0,2.0,3.3,0.15
"Chocolate, dark, with crème or mint fondant centres",445,16.3,9.80,68.5,60.2,0.0,4.7,3.6,0.02
"Chocolate, fancy and filled",445,21.3,11.30,57.7,57.5,0.2,1.3,4.9,0.22
"Chocolate, milk",527,31.1,18.71,53.3,53.3,0.0,2.3,7.2,0.22
"Chocolate, plain",524,28.0,16.80,60.4,59.6,0.8,5.2,5.0,0.02
"Chocolate, white",532,30.9,18.40,55.5,55.5,0.0,0.0,8.0,0.28
Chorizo,397,32.2,12.00,2.2,1.0,1.2,1.0,24.0,3.50
"Choux buns, homemade",396,34.1,18.23,16.3,0.9,15.5,0.8,5.6,0.31
"Chow mein, beef, retail, reheated",137,6.0,1.30,13.1,1.9,11.2,1.8,6.7,0.50
"Chow mein, chicken, takeaway",148,7.2,1.17,11.7,0.3,6.0,1.5,8.5,1.17
"Chow mein, pork and chicken, homemade",78,1.9,0.76,5.0,1.2,3.8,0.6,9.5,0.91
"Chutney, apple, homemade",193,0.2,0.00,46.7,46.6,0.1,0.7,0.8,0.03
"Chutney, mango, sweet",198,0.1,0.00,47.8,45.4,2.4,1.4,0.7,3.25
"Chutney, tomato",132,0.2,0.00,30.7,28.1,2.6,1.4,1.2,1.03
"Chutney, tomato, homemade",163,0.2,0.02,38.6,38.6,0.0,1.4,0.9,0.02
"Cider, dry",37,0.0,0.00,2.5,2.5,0.0,0.0,0.0,0.02
"Cider, low alcohol",18,0.0,0.00,3.5,3.5,0.0,0.0,0.0,0.01
"Cider, strong",69,0.0,0.00,7.2,7.2,0.0,0.0,0.0,0.01
"Cider, sweet",42,0.0,0.00,4.1,4.1,0.0,0.0,0.0,0.02
"Cinnamon, ground",257,1.2,0.35,31.1,2.1,29.0,53.1,4.0,0.03
"Citrus fruit, soft/easy peelers, flesh only",49,0.2,0.04,9.3,9.3,0.0,1.5,0.8,0.00
"Citrus fruit, soft/easy peelers, flesh only, weighed with peel and pips",38,0.2,0.03,7.3,7.3,0.0,1.2,0.6,0.00
"Cloves, dried",282,20.1,4.40,2.4,2.4,0.0,33.9,6.0,0.60
"Cockles, boiled",53,0.6,0.20,0.0,0.0,0.0,0.0,12.0,1.23
"Coco fritters, fried in rapeseed oil, homemade",322,22.5,N,24.1,0.7,23.5,1.9,4.8,0.53
Cocoa butter,896,99.5,59.00,0.0,0.0,0.0,0.0,0.0,0.00
Cocoa powder,390,21.7,12.80,10.5,0.0,10.5,30.4,23.1,0.09
"Cocoa powder, made up with semi-skimmed milk",59,2.0,1.27,6.4,6.2,0.2,0.6,3.7,0.10
"Cocoa powder, made up with skimmed milk",47,0.6,0.36,6.5,6.3,0.2,0.6,3.8,0.11
"Cocoa powder, made up with whole milk",76,3.9,2.44,6.3,6.1,0.2,0.6,3.6,0.10
"Coconut ice, homemade",379,12.3,10.54,63.9,63.9,0.0,2.6,1.9,0.04
Coconut milk,25,0.3,0.20,4.7,4.7,0.0,1.1,0.4,0.28
"Coconut milk, reduced fat, retail",79,7.7,6.35,1.6,0.8,0.8,0.1,0.8,0.00
"Coconut milk, retail",169,16.9,14.64,2.7,1.5,1.2,0.4,1.3,0.00
"Coconut, desiccated",641,62.0,53.40,6.1,6.1,0.0,16.3,6.6,0.07
"Coconut, flesh only, fresh",374,36.0,31.39,3.5,3.5,0.0,10.1,3.8,0.04
"Cod, dried, salted, boiled",138,0.9,0.20,0.0,0.0,0.0,0.0,32.5,1.00
"Cod, flesh only, baked",100,0.5,0.12,0.0,0.0,0.0,0.0,23.9,0.23
"Cod, flesh only, baked, weighed with bones and skin",89,0.4,0.11,0.0,0.0,0.0,0.0,21.3,0.20
"Cod, flesh only, grilled",106,0.8,0.23,0.0,0.0,0.0,0.0,24.6,0.32
"Cod, flesh only, microwaved",98,0.4,0.08,0.0,0.0,0.0,0.0,23.5,0.27
"Cod, flesh only, poached in milk, butter and salt added",94,1.1,0.30,0.0,0.0,0.0,0.0,20.9,0.28
"Cod, flesh only, poached in milk, butter and salt added, weighed with bones and skin",82,1.0,0.30,0.0,0.0,0.0,0.0,18.2,0.24
"Cod, flesh only, raw",75,0.6,0.16,0.0,0.0,0.0,0.0,17.5,0.23
"Cod, flesh only, salted and smoked, raw",79,0.6,0.10,0.0,0.0,0.0,0.0,18.3,1.25
"Cod, flesh only, steamed",98,0.8,0.21,0.0,0.0,0.0,0.0,22.8,0.32
"Cod, flesh only, steamed, weighed with bones and skin",86,0.7,0.18,0.0,0.0,0.0,0.0,19.9,0.28
"Cod, in batter, baked",230,11.8,1.71,18.0,1.9,16.1,1.5,12.3,1.06
"Cod, in batter, fried in dripping, takeaway",239,14.7,8.21,9.7,0.9,8.8,0.5,16.8,0.44
"Cod, in batter, fried in rapeseed oil",286,17.9,2.12,17.8,1.3,16.5,1.5,12.6,1.06
"Cod, in batter, fried in sunflower oil, takeaway",239,14.7,1.72,9.7,0.9,8.8,0.5,16.8,0.44
"Cod, in batter, fried, takeaway",239,14.7,7.58,9.7,0.9,8.8,0.5,16.8,0.44
"Cod, in breadcrumbs, baked",205,8.3,1.33,18.0,0.9,17.2,1.9,13.7,0.83
"Coffee and chicory essence, with water",9,0.0,0.00,2.2,2.1,0.1,0.0,0.1,0.01
"Coffee, cappuccino, latte",27,0.8,0.52,3.0,2.3,0.7,0.0,2.0,0.06
"Coffee, infusion, average",2,0.0,0.00,0.3,0.3,0.0,0.0,0.2,0.00
"Coffee, infusion, average, with semi-skimmed milk",7,0.2,0.10,0.7,0.7,0.0,0.0,0.6,0.02
"Coffee, infusion, average, with single cream",13,1.2,0.70,0.3,0.3,0.0,0.0,0.3,0.01
"Coffee, infusion, average, with whole milk",8,0.4,0.30,0.5,0.5,0.0,0.0,0.5,0.02
"Coffee, infusion, strong",1,0.0,0.00,0.0,0.0,0.0,0.0,0.2,0.00
"Coffee, infusion, weak",1,0.0,0.00,0.0,0.0,0.0,0.0,0.2,0.00
"Coffee, instant, made up with water",1,0.0,0.00,0.0,0.0,0.0,0.0,0.1,0.00
"Coffee, instant, made up with water and semi-skimmed milk",7,0.2,0.10,0.7,0.7,0.0,0.0,0.6,0.02
"Coffee, instant, made up with water and whole milk",8,0.4,0.30,0.5,0.5,0.0,0.0,0.5,0.02
"Coffee, Irish",125,8.8,5.44,2.4,2.4,0.0,0.0,0.4,0.01
"Coffee, powder, instant",98,0.0,0.00,4.1,0.0,4.1,0.0,20.4,0.20
"Coffeemate, whitener powder",533,34.5,26.00,53.5,9.2,0.0,0.0,2.1,1.00
Cola,43,0.0,0.00,10.7,10.7,0.0,0.0,0.0,0.01
"Cola, diet",0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.01
"Cole leaves, dried, boiled in unsalted water",26,0.8,0.10,1.2,0.9,0.3,3.5,1.7,0.21
"Coleslaw, not low calorie, retail",176,16.3,1.65,5.9,5.9,0.0,1.2,0.8,0.74
"Coleslaw, with reduced calorie dressing, retail",114,9.1,0.73,6.4,6.4,0.0,1.6,0.9,0.49
"Coley, flesh only, baked",111,1.5,0.27,0.0,0.0,0.0,0.0,24.4,0.23
"Coley, flesh only, grilled",105,1.4,0.25,0.0,0.0,0.0,0.0,23.2,0.22
"Coley, flesh only, poached",113,1.5,0.27,0.0,0.0,0.0,0.0,24.9,0.24
"Coley, flesh only, raw",82,1.1,0.20,0.0,0.0,0.0,0.0,18.0,0.17
"Coley, flesh only, steamed",105,1.4,0.25,0.0,0.0,0.0,0.0,23.0,0.22
"Coley, flesh only, steamed, weighed with bones and skin",95,1.3,0.23,0.0,0.0,0.0,0.0,20.9,0.20
"Complan powder, original and sweet",438,14.7,6.50,61.2,40.8,0.0,0.0,15.3,0.48
"Complan powder, savoury",436,15.6,6.62,58.1,6.1,6.2,0.2,15.8,2.25
"Complan powder, savoury, made up with water",56,3.5,1.47,2.6,1.3,1.4,0.0,3.5,0.50
"Complan powder, sweet, made up with semi-skimmed milk",114,4.5,2.26,12.5,12.5,0.0,0.0,6.0,0.19
"Complan powder, sweet, made up with skimmed milk",105,3.4,1.52,12.5,12.5,0.0,0.0,6.1,0.19
"Complan powder, sweet, made up with water",80,3.3,1.46,9.1,9.1,0.0,0.0,3.4,0.11
"Complan powder, sweet, made up with whole milk",127,6.0,3.21,12.4,12.4,0.0,0.0,5.9,0.19
"Coo-coo, homemade",N,1.8,0.64,N,N,N,0.7,2.4,0.02
"Cooking fat, compound, not polyunsaturated",900,100.0,42.30,0.0,0.0,0.0,0.0,0.0,0.00
"Coq au vin, homemade",189,11.0,4.19,2.9,0.3,2.6,0.2,11.2,0.39
"Coq au vin, homemade, weighed with bone",154,9.0,3.42,2.4,0.3,2.1,0.2,9.1,0.39
"Coriander leaves, dried",303,4.8,0.12,37.9,7.3,30.6,10.4,21.8,0.53
"Coriander leaves, fresh",23,0.5,0.01,1.2,0.9,0.3,2.8,2.1,0.12
Coriander seeds,336,17.8,0.99,10.5,1.7,8.8,41.9,12.4,0.09
"Corn fritters, fried in rapeseed oil, homemade",276,15.2,2.65,27.4,4.5,22.9,2.5,6.1,0.36
"Corn pudding, homemade",81,2.9,0.98,8.3,5.7,2.5,1.6,4.7,0.11
Corn snacks,522,30.4,2.76,55.5,5.2,50.3,1.3,5.9,2.27
"Corned beef hash, homemade",143,5.9,3.26,11.4,2.0,9.5,1.3,10.4,0.80
"Corned beef, canned",205,10.9,5.70,1.0,1.0,0.0,0.0,25.9,2.15
Cornetto type ice cream cone,295,14.4,11.04,37.4,26.7,10.6,1.2,3.5,0.23
"Cornish pasty, homemade",296,19.2,7.07,22.6,2.3,20.4,2.5,7.0,0.33
"Cornish pasty, retail",282,17.8,8.53,22.0,2.1,19.9,2.9,7.0,1.18
"Cornmeal, sifted",375,3.3,0.41,74.9,1.6,73.3,3.9,9.4,0.00
"Coronation chicken, homemade",363,31.4,3.25,3.4,3.3,0.1,0.2,16.6,0.31
"Coronation chicken, reduced fat, homemade",216,14.8,2.00,4.0,2.7,1.3,0.2,16.6,0.70
"Courgette, boiled in unsalted water",17,0.3,0.08,1.8,1.7,0.1,0.8,1.3,0.00
"Courgette, dried",308,3.6,0.90,41.0,39.4,1.6,9.0,23.3,0.00
"Courgette, fried in butter",66,4.8,3.10,2.6,2.5,0.1,1.2,2.6,0.00
"Courgette, fried in corn oil",66,4.8,0.60,2.6,2.5,0.1,1.2,2.6,0.00
"Courgette, fried in rapeseed oil",66,4.8,0.39,2.6,2.5,0.1,1.2,2.6,0.00
"Courgette, raw",17,0.2,0.05,2.3,2.2,0.1,0.5,1.3,0.00
"Courgette, roasted in rapeseed oil",41,1.9,0.16,3.5,3.4,0.1,0.8,2.0,0.00
"Courgettes with eggs, homemade",113,9.7,1.66,2.1,2.0,0.1,0.9,3.9,0.07
"Couscous, plain, cooked",181,1.0,0.18,34.1,1.0,33.2,2.2,7.9,0.01
"Couscous, plain, raw",367,2.1,0.30,72.0,2.1,69.9,3.7,13.1,0.01
"Crab, brown meat, purchased cooked",145,7.8,1.26,0.0,0.0,0.0,0.0,18.8,0.88
"Crab, canned in brine, drained",77,0.5,0.10,0.0,0.0,0.0,0.0,18.1,1.38
"Crab, purchased cooked",115,4.1,0.65,0.0,0.0,0.0,0.0,19.6,0.84
"Crab, white and brown meat, purchased cooked, weighed with shell",51,1.8,0.29,0.0,0.0,0.0,0.0,8.6,0.37
"Crab, white meat, purchased cooked",85,0.3,0.04,0.0,0.0,0.0,0.0,20.5,0.81
"Crackers, wholemeal, homemade",426,10.5,3.38,69.7,0.7,69.0,5.4,10.6,0.40
Cranberries,29,0.1,0.00,3.4,3.4,0.0,4.6,0.4,0.01
Cranberry fruit juice drink,47,0.0,0.00,11.5,11.5,0.0,0.0,0.0,0.00
"Crayfish, raw",67,0.8,0.10,0.0,0.0,0.0,0.0,14.9,0.38
Cream crackers,448,16.4,7.38,63.4,1.4,62.0,3.9,9.8,0.96
Cream of tartar,0,0.0,0.00,0.0,0.0,0.0,0.2,0.0,0.00
"Cream substitute, double",346,35.7,24.34,3.4,3.4,0.0,0.2,2.6,0.12
"Cream substitute, single",158,14.5,9.19,3.8,3.8,0.0,0.2,3.1,0.15
"Cream, dairy, extra thick (24% fat)",236,23.5,15.25,3.2,3.2,0.0,0.0,2.8,0.07
"Cream, dairy, UHT, canned spray, 85% cream",253,24.2,15.20,6.9,6.9,0.0,0.0,1.9,0.08
"Cream, dairy, UHT, half fat, canned spray",196,17.3,10.87,7.2,7.0,0.0,0.0,2.8,0.09
"Cream, fresh, clotted",587,63.5,39.70,2.2,2.2,0.0,0.0,1.6,0.05
"Cream, fresh, double, including Jersey cream",496,53.7,33.39,1.6,1.6,0.0,0.0,1.6,0.06
"Cream, fresh, single",193,19.1,12.15,2.1,2.1,0.0,0.0,3.3,0.07
"Cream, fresh, whipping",381,40.3,25.23,2.6,2.6,0.0,0.0,1.9,0.06
"Cream, half, fresh",148,13.3,8.30,4.1,4.1,0.0,0.0,2.9,0.12
"Crème caramel, homemade",160,3.3,1.23,27.3,27.3,0.0,0.0,5.1,0.16
"Creme caramel, retail",N,1.6,0.89,19.7,17.3,2.4,N,2.9,0.18
Creme egg,382,15.9,9.70,55.5,55.5,0.0,0.5,4.0,0.16
"Creme fraiche, full fat",378,40.0,27.10,2.3,2.0,0.3,0.0,2.1,0.06
"Creme fraiche, half fat",162,15.0,10.16,4.1,2.9,1.3,0.0,2.6,0.09
"Crispbread, rye",320,1.4,0.16,57.8,3.2,54.5,20.0,9.2,0.66
Croissants,380,19.7,9.76,39.7,5.2,34.5,3.1,9.4,0.83
"Crumble, apple, homemade",202,6.4,2.09,33.6,22.5,11.1,0.8,1.9,0.16
"Crumble, fruit, homemade",202,6.4,2.10,32.2,20.1,12.1,1.7,2.2,0.16
"Crumble, fruit, retail",228,8.3,3.97,34.1,21.2,12.7,2.3,2.4,0.21
"Crumble, fruit, wholemeal, homemade",207,7.3,4.37,30.6,20.2,10.4,2.6,2.6,0.16
"Crumble, vegetable, with tinned tomatoes, homemade",176,9.6,2.31,18.2,4.7,13.5,1.8,3.3,0.17
"Crumble, vegetable, with tinned tomatoes, wholemeal, homemade",173,9.7,2.28,16.4,4.9,11.5,2.8,3.8,0.17
