food_name,energy_kcal ,fat_g,saturates_g,carbohydrate_g,sugars_g,starch_g,fibre_g,protein_g,salt_g
"Avocado, Hass, flesh only",178,17.4,4.15,1.7,0.4,0.0,3.1,1.8,0.02
"Avocado, Hass, flesh only, weighed with skin and stone",123,12.0,2.86,1.1,0.2,0.0,2.1,1.3,0.01
"Ayr, raw",75,1.3,0.20,0.0,0.0,0.0,0.0,15.9,0.24
"Babaco, flesh only",22,0.1,0.00,3.1,3.1,0.0,0.9,1.1,0.01
"Bacha, raw",123,5.6,0.80,0.0,0.0,0.0,0.0,18.1,0.24
"Bacon loin steaks, lean, grilled",158,4.3,1.55,1.0,1.0,0.0,0.0,28.9,2.48
"Bacon rashers, back, dry-cured, grilled",257,15.9,6.00,0.0,0.0,0.0,0.0,28.4,4.33
"Bacon rashers, back, dry-fried",295,22.0,8.30,0.0,0.0,0.0,0.0,24.2,3.53
"Bacon rashers, back, fat trimmed, grilled",213,12.3,4.60,0.0,0.0,0.0,0.0,25.7,3.58
"Bacon rashers, back, fat trimmed, raw",136,6.7,2.50,0.0,0.0,0.0,0.0,18.8,2.50
"Bacon rashers, back, grilled",287,21.6,8.10,0.0,0.0,0.0,0.0,23.2,3.48
"Bacon rashers, back, grilled crispy",313,18.8,7.10,0.0,0.0,0.0,0.0,36.0,5.00
"Bacon rashers, back, microwaved",306,23.3,8.80,0.0,0.0,0.0,0.0,24.2,4.33
"Bacon rashers, back, raw",215,16.5,6.20,0.0,0.0,0.0,0.0,16.5,2.85
"Bacon rashers, back, reduced salt, grilled",282,20.6,7.80,0.0,0.0,0.0,0.0,24.1,2.83
"Bacon rashers, back, smoked, grilled",292,22.1,8.30,0.0,0.0,0.0,0.0,23.4,3.48
"Bacon rashers, back, sweetcure, grilled",252,17.4,6.60,0.0,0.0,0.0,0.0,23.8,3.48
"Bacon rashers, back, 'tendersweet', grilled",213,11.9,4.50,0.0,0.0,0.0,0.0,26.4,3.48
"Bacon rashers, middle, fried in corn oil",350,28.5,9.80,0.0,0.0,0.0,0.0,23.4,3.48
"Bacon rashers, middle, grilled",307,23.1,8.40,0.0,0.0,0.0,0.0,24.8,3.48
