food_code,units,rse_indicator,years,amount
Takeaway kebabs,g,High,2006,8.0
Takeaway sausages and saveloys,g,High,2006,2.0
Takeaway meat based meals,g,Medium,2006,39.0
Takeaway miscellaneous meats,g,Very High,2006,0.0
Fish,g,Low,2006,170.0
"White fish, fresh, chilled or frozen",g,High,2006,28.0
"White fish, fresh or chilled",g,High,2006,20.0
"White fish, frozen",g,Very High,2006,8.0
"Herrings and other blue fish, fresh, chilled or frozen",g,High,2006,7.0
"Herrings and other blue fish, fresh or chilled",g,Very High,2006,7.0
"Herrings and other blue fish, frozen",g,Very High,2006,0.0
"Salmon, fresh, chilled or frozen",g,Medium,2006,12.0
"Salmon, fresh or chilled",g,Medium,2006,11.0
"Salmon, frozen",g,Very High,2006,1.0
"Blue fish, dried or salted or smoked",g,High,2006,6.0
"White fish, dried, salted or smoked",g,Very High,2006,4.0
Shellfish,g,High,2006,13.0
"Shellfish, fresh or chilled",g,High,2006,6.0
"Shellfish, frozen",g,High,2006,7.0
Takeaway fish,g,High,2006,10.0
"Salmon, tinned",g,Very High,2006,5.0
Other tinned or bottled fish,g,Medium,2006,31.0
Ready meals and other fish products - frozen or not frozen,g,Medium,2006,50.0
Takeaway fish meals and fish products,g,High,2006,3.0
Takeaway fish products,g,Very High,2006,1.0
Takeaway fish based meals,g,Very High,2006,2.0
Eggs,no.,Low,2006,2.0
Fats,g,Low,2006,184.0
Butter,g,Medium,2006,40.0
Margarine,g,Medium,2006,18.0
Soft margarine,g,Medium,2006,16.0
Other margarine,g,Very High,2006,2.0
"Lard, cooking fat",g,Very High,2006,4.0
Vegetable and salad oils,ml,High,2006,59.0
Olive oil,ml,High,2006,13.0
Other vegetable and salad oils,ml,High,2006,46.0
All other fats,g,Medium,2006,64.0
Reduced fat spreads,g,Medium,2006,43.0
Low fat spreads,g,Very High,2006,13.0
Suet and dripping,g,Very High,2006,1.0
Imitatation cream,g,High,2006,6.0
Sugar and preserves,g,Medium,2006,126.0
Sugar,g,Medium,2006,92.0
Jams and fruit curds,g,Medium,2006,16.0
Marmalade,g,High,2006,9.0
"Syrup, treacle",g,High,2006,3.0
Honey,g,Medium,2006,6.0
"fruit and vegetables, including potatoes",g,Low,2006,3265.0
"vegetables, including potatoes",g,Very Low,2006,1952.0
fresh and processed potatoes,g,Low,2006,810.0
Fresh potatoes,g,Low,2006,565.0
Fresh new potatoes ,g,Medium,2006,98.0
Fresh baking potatoes ,g,Medium,2006,65.0
Other fresh potatoes,g,Medium,2006,401.0
processed potatoes,g,Low,2006,246.0
Chips and takeaway chips,g,Low,2006,142.0
Chips - frozen or not frozen,g,Low,2006,100.0
Takeaway chips,g,Medium,2006,42.0
Instant potato,g,Very High,2006,2.0
Canned potatoes,g,Very High,2006,5.0
Crisps and potato snacks,g,Low,2006,56.0
"Other potato products, frozen or not frozen",g,Medium,2006,41.0
Fresh green vegetables,g,Low,2006,221.0
Fresh cabbages,g,Medium,2006,42.0
Fresh brussels sprouts,g,High,2006,14.0
Fresh cauliflower,g,Medium,2006,71.0
Leafy salads fresh,g,Low,2006,62.0
Lettuce and leafy salads,g,Medium,2006,44.0
Prepared lettuce salads,g,Medium,2006,18.0
Fresh peas,g,High,2006,6.0
Fresh beans,g,Medium,2006,19.0
Other fresh green vegetables,g,Medium,2006,6.0
Other fresh vegetables,g,Low,2006,566.0
Fresh carrots,g,Low,2006,107.0
Fresh turnips and swede,g,High,2006,22.0
Other fresh root vegetables,g,Medium,2006,39.0
"Fresh onions, leeks and shallots",g,Low,2006,107.0
Fresh cucumbers,g,Low,2006,42.0
Fresh mushrooms,g,Low,2006,36.0
Fresh tomatoes,g,Low,2006,100.0
Miscellaneous fresh vegtables,g,Low,2006,113.0
"Fresh vegetable stewpack, stirfry pack etc.",g,High,2006,25.0
Fresh stem vegetables,g,Medium,2006,26.0
"Fresh marrow, courgettes, aubergine, pumpkin and other vegetables",g,Medium,2006,58.0
Fresh herbs,g,Medium,2006,5.0
"Tomatoes, canned or bottled",g,Medium,2006,48.0
"Peas, canned",g,Medium,2006,24.0
Beans canned,g,Medium,2006,107.0
Baked beans in sauce,g,Medium,2006,92.0
Other canned beans and pulses,g,Medium,2006,15.0
Other canned vegetables,g,Medium,2006,23.0
Dried pulses other than air-dried,g,Very High,2006,8.0
Air-dried vegetables,g,Very High,2006,0.0
Vegetable juices and purees,ml,High,2006,9.0
Tomato puree and vegetable purees,ml,Medium,2006,3.0
"Vegetable juices eg tomato juice, carrot juice",ml,Very High,2006,6.0
"Peas, frozen",g,Medium,2006,29.0
"Beans, frozen",g,Very High,2006,4.0
Ready meals and other vegetable products (inc takeaways),g,Low,2006,66.0
"Ready meals and other vegetable products, frozen or not frozen",g,Low,2006,55.0
All vegetable takeaway products,g,High,2006,10.0
Other frozen vegetables,g,Medium,2006,36.0
Fresh and processed fruit,g,Low,2006,1313.0
Fresh fruit,g,Low,2006,855.0
Fresh oranges,g,Medium,2006,55.0
Other fresh citrus fruits,g,Low,2006,90.0
Fresh apples,g,Low,2006,180.0
Fresh pears,g,Medium,2006,49.0
Fresh stone fruit,g,Medium,2006,72.0
Fresh grapes,g,Low,2006,67.0
Other fresh soft fruit,g,Low,2006,41.0
Fresh bananas,g,Low,2006,226.0
Fresh melons,g,High,2006,39.0
Other fresh fruit,g,Medium,2006,36.0
Processed fruit and fruit products,g,Low,2006,458.0
"Tinned peaches, pears and pineapples",g,High,2006,17.0
All other tinned or bottled fruit,g,High,2006,22.0
Dried fruit,g,High,2006,23.0
"Frozen strawberries, apple slices, peach halves, oranges and other frozen fruits",g,High,2006,2.0
"Nuts, edible seeds and peanut butter",g,Medium,2006,29.0
Nuts and edible seeds,g,Medium,2006,26.0
Peanut butter,g,High,2006,3.0
Pure fruit juices [note 8],ml,Medium,2006,366.0
Bread,g,Very Low,2006,692.0
white bread,g,Low,2006,310.0
"White bread, standard, unsliced",g,High,2006,40.0
"White bread, standard, sliced",g,Low,2006,263.0
"White bread, premium, sliced and unsliced",g,High,2006,4.0
"White bread, soft grain, sliced and unsliced",g,High,2006,3.0
Brown and wholemeal bread,g,Low,2006,188.0
"Brown bread, sliced and unsliced",g,High,2006,36.0
"Wholemeal and granary bread, sliced and unsliced",g,Medium,2006,151.0
Total other bread,g,Low,2006,194.0
"Rolls - white, brown or wholemeal",g,Medium,2006,74.0
Malt bread and fruit loaves,g,High,2006,9.0
Vienna and french bread,g,Medium,2006,31.0
Starch reduced bread and rolls,g,High,2006,10.0
Other breads,g,Low,2006,55.0
Sandwiches,g,High,2006,10.0
Sandwiches from takeaway,g,High,2006,3.0
Takeaway breads,g,High,2006,2.0
Flour,g,High,2006,54.0
"Cakes, buns and pastries",g,Low,2006,165.0
"Buns, scones and teacakes",g,Low,2006,45.0
Cakes and pastries,g,Low,2006,120.0
"Cakes and pastries, not frozen",g,Low,2006,119.0
Takeaway pastries,g,High,2006,1.0
Biscuits and crispbreads,g,Low,2006,165.0
Crispbread,g,Medium,2006,7.0
Biscuits other than chocolate,g,Low,2006,102.0
Sweet biscuits (not chocolate) and cereal bars,g,Low,2006,90.0
Cream crackers and other unsweetened biscuits,g,Medium,2006,13.0
Chocolate biscuits,g,Low,2006,56.0
Other cereals and cereal products,g,Very Low,2006,530.0
Oatmeal and oat products,g,Medium,2006,17.0
Breakfast cereals,g,Low,2006,135.0
Muesli,g,Medium,2006,18.0
High fibre breakfast cereals,g,Medium,2006,60.0
Sweetened breakfast cereals,g,Medium,2006,30.0
Other breakfast cereals,g,Medium,2006,28.0
Canned milk puddings,g,Medium,2006,27.0
Canned or fresh carton custard,g,Medium,2006,16.0
All canned milk puddings,g,High,2006,11.0
Puddings,g,High,2006,10.0
Rice,g,Medium,2006,87.0
Dried rice,g,High,2006,60.0
Cooked rice,g,Medium,2006,6.0
Takeaway rice,g,Medium,2006,21.0
"Invalid foods, slimming foods and sports foods",g,Very High,2006,5.0
Infant cereal foods,g,Very High,2006,1.0
Cakes and pastries - frozen,g,High,2006,8.0
Pasta,g,Low,2006,87.0
Canned pasta,g,High,2006,24.0
Dried and fresh pasta,g,Medium,2006,61.0
Takeaway pasta and noodles,g,Very High,2006,1.0
Pizza,g,Low,2006,70.0
"Pizzas, frozen and not frozen",g,Medium,2006,50.0
Takeaway pizza,g,High,2006,20.0
Other cereal convenience foods,g,Low,2006,76.0
"Cake, pudding and dessert mixes",g,High,2006,6.0
Cereal snacks,g,Medium,2006,18.0
"Quiches and flans, frozen and not frozen",g,High,2006,12.0
"Takeaway crisps, savoury snacks, popcorn, popadums, prawn crackers",g,Very High,2006,1.0
"Other cereal foods, frozen and not frozen",g,Low,2006,38.0
Other cereals,g,Very High,2006,7.0
Beverages,g,Low,2006,55.0
Tea,g,Medium,2006,30.0
Coffee beans and ground coffee,g,Medium,2006,3.0
Instant coffee,g,Medium,2006,14.0
Coffee essences,ml,Very High,2006,0.0
Tea and coffee from takeaway,ml,Very High,2006,0.0
Cocoa and chocolate drinks,g,High,2006,5.0
Malt drinks and chocolate versions of malted drinks,g,Very High,2006,3.0
Other food and drink,g,Medium,2006,764.0
Mineral or spring waters,ml,High,2006,292.0
Baby foods,g,Very High,2006,9.0
Soups - canned or cartons,g,Medium,2006,79.0
Soups - dehydrated or powdered,g,Very High,2006,4.0
Soups - from takeaway,g,Very High,2006,1.0
Other takeaway food brought home,g,Very High,2006,0.0
Meals on wheels - items not specified,g,Very High,2006,1.0
Spreads and dressings,g,Low,2006,39.0
Salad dressings,g,Low,2006,34.0
Other spreads and dresssings,g,High,2006,5.0
Pickles and sauces,g,Low,2006,128.0
Pickles,g,High,2006,14.0
Sauces,g,Low,2006,114.0
Takeaway sauces and mayonnnaise,g,High,2006,1.0
Stock cubes and meat and yeast extracts,g,High,2006,4.0
Jelly squares or crystals,g,High,2006,4.0
Ice cream tub or block,ml,Medium,2006,114.0
Ice cream products including takeaways,ml,Medium,2006,77.0
"Ice cream cornets, choc-ices, lollies with ice cream",ml,Medium,2006,46.0
"Ice lollies, sorbet, frozen mousse, frozen yoghurt",ml,High,2006,29.0
"Takeaway ice cream, ice cream products, milkshakes",ml,Very High,2006,2.0
Salt,g,High,2006,8.0
Soya and novel protein foods,g,High,2006,5.0
Soft drinks,ml,Low,2006,1807.0
"Soft drinks, concentrated, not low calorie [note 10]",ml,High,2006,638.0
"Soft drinks, not concentrated,  not low calorie",ml,Medium,2006,635.0
"Soft drinks, concentrated, low calorie [note 10]",ml,Medium,2006,171.0
"Soft drinks, not concentrated, low calorie",ml,Medium,2006,363.0
Confectionery,g,Low,2006,123.0
Chocolate bars - solid,g,Low,2006,31.0
Chocolate bars - filled,g,Low,2006,54.0
Chewing gum,g,High,2006,2.0
Mints and boiled sweets,g,Low,2006,33.0
Mints,g,High,2006,4.0
Boiled sweets,g,Low,2006,29.0
"Fudges, toffees, caramels",g,High,2006,3.0
Takeaway confectionery,g,Very High,2006,0.0
Alcoholic drinks,ml,Medium,2006,760.0
Beers,ml,High,2006,99.0
Lagers and continental beers,ml,Medium,2006,294.0
Ciders and perry,ml,High,2006,59.0
Wine and champagne,ml,Medium,2006,245.0
"Champagne, sparkling wines and wine with mixer",ml,High,2006,12.0
Table wine,ml,Medium,2006,233.0
Spirits with mixer,ml,Very High,2006,1.0
Fortified wines,ml,Very High,2006,10.0
Spirits,ml,Medium,2006,34.0
Liqueurs and cocktails,ml,High,2006,6.0
Alcopops,ml,Very High,2006,12.0
,,,2006,
Milk and milk products excluding cheese,ml,Very Low,2007,1984.0
"Liquid wholemilk, including school and welfare",ml,Medium,2007,432.0
"Liquid wholemilk, full price",ml,Medium,2007,420.0
UHT milk,ml,Very High,2007,11.0
Sterilised,ml,,2007,2.0
Pasteurised/ homogenised,ml,Medium,2007,407.0
School milk ,ml,,2007,
Welfare milk,ml,,2007,11.0
Other milk and cream,ml,Low,2007,1552.0
Skimmed milks,ml,Low,2007,1154.0
Fully skimmed milk,ml,Medium,2007,173.0
Semi-skimmed milk,ml,Low,2007,982.0
Condensed or evaporated milk,eq ml,High,2007,18.0
Infant milks,eq ml,Very High,2007,59.0
Infant or baby milks - ready to drink,eq ml,Very High,2007,5.0
Infant or baby milks - dried,eq ml,Very High,2007,54.0
Instant dried milk,eq ml,Very High,2007,10.0
Yoghurt and fromage frais,ml,Low,2007,196.0
Yoghurt,ml,Low,2007,175.0
Fromage frais,ml,High,2007,22.0
Other milks and dairy desserts,ml,Medium,2007,92.0
Dairy desserts - not frozen,ml,Medium,2007,40.0
Dried milk products,ml,Very High,2007,4.0
Milk drinks and other milks ,ml,High,2007,24.0
Non-dairy milk substitutes ,ml,Medium,2007,24.0
Cream,ml,Medium,2007,21.0
Cheese,g,Low,2007,119.0
Natural cheese,g,Low,2007,106.0
Hard cheese - cheddar type,g,Low,2007,67.0
Hard cheese - other uk or foreign equivalent,g,High,2007,11.0
Hard cheese - edam or other foreign,g,Medium,2007,8.0
Cottage cheese,g,High,2007,5.0
Soft natural cheese,g,Medium,2007,16.0
Processed cheese,g,Medium,2007,12.0
Carcase meat,g,Low,2007,235.0
Beef and veal,g,Low,2007,126.0
Beef joints - on the bone,g,Very High,2007,1.0
Beef joints - boned,g,High,2007,26.0
Beef steak - less expensive,g,Medium,2007,18.0
Beef steak - more expensive,g,High,2007,25.0
Minced beef,g,Medium,2007,55.0
All other beef and veal,g,Very High,2007,1.0
Mutton and lamb,g,High,2007,55.0
Mutton,g,Very High,2007,0.0
Lamb joints,g,Very High,2007,35.0
Lamb chops,g,High,2007,14.0
All other lamb,g,Very High,2007,6.0
Pork,g,Medium,2007,54.0
Pork joints,g,High,2007,20.0
Pork chops,g,High,2007,12.0
Pork fillets and steaks,g,High,2007,13.0
All other pork,g,High,2007,9.0
Non-carcase meat and meat products,g,Very Low,2007,795.0
Liver,g,Very High,2007,3.0
Ox liver,g,Very High,2007,0.0
Lambs liver,g,Very High,2007,1.0
Pigs liver,g,Very High,2007,1.0
All other liver,g,Very High,2007,1.0
All offal other than liver,g,Very High,2007,2.0
"Bacon and ham, uncooked",g,Medium,2007,64.0
"Bacon and ham joints, uncooked",g,High,2007,17.0
"Bacon and ham rashers, uncooked",g,Low,2007,47.0
"Bacon and ham, cooked",g,Low,2007,45.0
Cooked poultry not purchased in cans,g,Medium,2007,43.0
"Chicken and turkey, cooked",g,Medium,2007,37.0
Takeaway chicken,g,High,2007,6.0
"Corned beef, canned or sliced",g,Medium,2007,12.0
Other cooked meat,g,Medium,2007,12.0
Other canned meat and canned meat products,g,High,2007,26.0
"Chicken, uncooked - whole chicken or chicken pieces",g,Low,2007,178.0
"Other poultry, uncooked (including frozen)",g,High,2007,30.0
"Turkey, uncooked - whole turkey or turkey pieces",g,High,2007,25.0
"Poultry other than chicken or turkey, uncooked",g,Very High,2007,4.0
"Other fresh, chilled and frozen meat",g,Very High,2007,2.0
"Sausages, uncooked - pork",g,Low,2007,59.0
"Sausages, uncooked - beef and other sausages",g,High,2007,5.0
"Meat pies and sausage rolls, ready to eat",g,Medium,2007,23.0
"Meat pies, ready to eat",g,Medium,2007,11.0
"Sausage rolls, ready to eat",g,Medium,2007,12.0
"Meat pies, pasties and puddings, frozen or not frozen",g,Medium,2007,50.0
"Burgers, frozen or not frozen",g,Medium,2007,20.0
Ready meals and convenience meat products,g,Low,2007,148.0
"Complete meat-based ready meals, frozen or not frozen",g,Medium,2007,89.0
"Other convenience meat products, frozen or not frozen",g,Medium,2007,59.0
Pate and delicatessen type sausage,g,Medium,2007,13.0
Pate,g,High,2007,4.0
Delicatessen type sausages,g,Medium,2007,10.0
Meat pastes and spreads,g,Very High,2007,1.0
Takeaway meats,g,Medium,2007,58.0
Takeaway meat pies and pasties,g,Very High,2007,2.0
Takeaway burger and bun,g,High,2007,5.0
Takeaway kebabs,g,High,2007,8.0
Takeaway sausages and saveloys,g,High,2007,2.0
Takeaway meat based meals,g,Medium,2007,40.0
Takeaway miscellaneous meats,g,Very High,2007,0.0
Fish,g,Low,2007,165.0
"White fish, fresh, chilled or frozen",g,High,2007,24.0
"White fish, fresh or chilled",g,High,2007,17.0
"White fish, frozen",g,Very High,2007,8.0
"Herrings and other blue fish, fresh, chilled or frozen",g,High,2007,8.0
"Herrings and other blue fish, fresh or chilled",g,Very High,2007,7.0
"Herrings and other blue fish, frozen",g,Very High,2007,0.0
"Salmon, fresh, chilled or frozen",g,Medium,2007,12.0
"Salmon, fresh or chilled",g,Medium,2007,11.0
"Salmon, frozen",g,Very High,2007,1.0
"Blue fish, dried or salted or smoked",g,High,2007,6.0
"White fish, dried, salted or smoked",g,Very High,2007,4.0
Shellfish,g,High,2007,14.0
"Shellfish, fresh or chilled",g,High,2007,8.0
"Shellfish, frozen",g,High,2007,6.0
Takeaway fish,g,High,2007,10.0
"Salmon, tinned",g,Very High,2007,5.0
Other tinned or bottled fish,g,Medium,2007,30.0
Ready meals and other fish products - frozen or not frozen,g,Medium,2007,50.0
Takeaway fish meals and fish products,g,High,2007,2.0
Takeaway fish products,g,Very High,2007,1.0
Takeaway fish based meals,g,Very High,2007,2.0
Eggs,no.,Low,2007,2.0
Fats,g,Low,2007,181.0
Butter,g,Medium,2007,41.0
Margarine,g,Medium,2007,19.0
Soft margarine,g,Medium,2007,17.0
Other margarine,g,Very High,2007,2.0
"Lard, cooking fat",g,Very High,2007,3.0
Vegetable and salad oils,ml,High,2007,57.0
Olive oil,ml,High,2007,12.0
Other vegetable and salad oils,ml,High,2007,45.0
All other fats,g,Medium,2007,61.0
Reduced fat spreads,g,Medium,2007,41.0
Low fat spreads,g,Very High,2007,12.0
Suet and dripping,g,Very High,2007,1.0
Imitatation cream,g,High,2007,7.0
Sugar and preserves,g,Medium,2007,125.0
Sugar,g,Medium,2007,92.0
Jams and fruit curds,g,Medium,2007,15.0
Marmalade,g,High,2007,9.0
"Syrup, treacle",g,High,2007,3.0
Honey,g,Medium,2007,6.0
"fruit and vegetables, including potatoes",g,Low,2007,3202.0
"vegetables, including potatoes",g,Very Low,2007,1921.0
fresh and processed potatoes,g,Low,2007,781.0
Fresh potatoes,g,Low,2007,537.0
Fresh new potatoes ,g,Medium,2007,93.0
Fresh baking potatoes ,g,Medium,2007,62.0
Other fresh potatoes,g,Medium,2007,381.0
processed potatoes,g,Low,2007,244.0
Chips and takeaway chips,g,Low,2007,142.0
Chips - frozen or not frozen,g,Low,2007,101.0
Takeaway chips,g,Medium,2007,41.0
Instant potato,g,Very High,2007,1.0
Canned potatoes,g,Very High,2007,3.0
Crisps and potato snacks,g,Low,2007,55.0
"Other potato products, frozen or not frozen",g,Medium,2007,42.0
Fresh green vegetables,g,Low,2007,224.0
Fresh cabbages,g,Medium,2007,43.0
Fresh brussels sprouts,g,High,2007,14.0
Fresh cauliflower,g,Medium,2007,73.0
Leafy salads fresh,g,Low,2007,59.0
Lettuce and leafy salads,g,Medium,2007,40.0
Prepared lettuce salads,g,Medium,2007,18.0
Fresh peas,g,High,2007,6.0
Fresh beans,g,Medium,2007,23.0
Other fresh green vegetables,g,Medium,2007,7.0
Other fresh vegetables,g,Low,2007,566.0
Fresh carrots,g,Low,2007,110.0
Fresh turnips and swede,g,High,2007,21.0
Other fresh root vegetables,g,Medium,2007,38.0
"Fresh onions, leeks and shallots",g,Low,2007,106.0
Fresh cucumbers,g,Low,2007,42.0
Fresh mushrooms,g,Low,2007,37.0
Fresh tomatoes,g,Low,2007,95.0
Miscellaneous fresh vegtables,g,Low,2007,117.0
"Fresh vegetable stewpack, stirfry pack etc.",g,High,2007,28.0
Fresh stem vegetables,g,Medium,2007,27.0
"Fresh marrow, courgettes, aubergine, pumpkin and other vegetables",g,Medium,2007,58.0
Fresh herbs,g,Medium,2007,5.0
"Tomatoes, canned or bottled",g,Medium,2007,50.0
"Peas, canned",g,Medium,2007,24.0
Beans canned,g,Medium,2007,104.0
Baked beans in sauce,g,Medium,2007,90.0
Other canned beans and pulses,g,Medium,2007,14.0
Other canned vegetables,g,Medium,2007,22.0
Dried pulses other than air-dried,g,Very High,2007,8.0
Air-dried vegetables,g,Very High,2007,0.0
Vegetable juices and purees,ml,High,2007,9.0
Tomato puree and vegetable purees,ml,Medium,2007,4.0
"Vegetable juices eg tomato juice, carrot juice",ml,Very High,2007,5.0
"Peas, frozen",g,Medium,2007,29.0
"Beans, frozen",g,Very High,2007,4.0
Ready meals and other vegetable products (inc takeaways),g,Low,2007,64.0
"Ready meals and other vegetable products, frozen or not frozen",g,Low,2007,54.0
All vegetable takeaway products,g,High,2007,9.0
Other frozen vegetables,g,Medium,2007,36.0
Fresh and processed fruit,g,Low,2007,1281.0
Fresh fruit,g,Low,2007,855.0
Fresh oranges,g,Medium,2007,59.0
Other fresh citrus fruits,g,Low,2007,89.0
Fresh apples,g,Low,2007,178.0
Fresh pears,g,Medium,2007,45.0
Fresh stone fruit,g,Medium,2007,68.0
Fresh grapes,g,Low,2007,62.0
Other fresh soft fruit,g,Low,2007,48.0
Fresh bananas,g,Low,2007,230.0
Fresh melons,g,High,2007,37.0
Other fresh fruit,g,Medium,2007,40.0
Processed fruit and fruit products,g,Low,2007,426.0
"Tinned peaches, pears and pineapples",g,High,2007,14.0
All other tinned or bottled fruit,g,High,2007,21.0
Dried fruit,g,High,2007,21.0
"Frozen strawberries, apple slices, peach halves, oranges and other frozen fruits",g,High,2007,2.0
"Nuts, edible seeds and peanut butter",g,Medium,2007,28.0
Nuts and edible seeds,g,Medium,2007,25.0
Peanut butter,g,High,2007,3.0
Pure fruit juices [note 8],ml,Medium,2007,340.0
Bread,g,Very Low,2007,677.0
white bread,g,Low,2007,304.0
"White bread, standard, unsliced",g,High,2007,35.0
"White bread, standard, sliced",g,Low,2007,265.0
"White bread, premium, sliced and unsliced",g,High,2007,2.0
"White bread, soft grain, sliced and unsliced",g,High,2007,2.0
Brown and wholemeal bread,g,Low,2007,176.0
"Brown bread, sliced and unsliced",g,High,2007,36.0
"Wholemeal and granary bread, sliced and unsliced",g,Medium,2007,140.0
Total other bread,g,Low,2007,197.0
"Rolls - white, brown or wholemeal",g,Medium,2007,72.0
Malt bread and fruit loaves,g,High,2007,10.0
Vienna and french bread,g,Medium,2007,29.0
Starch reduced bread and rolls,g,High,2007,9.0
Other breads,g,Low,2007,62.0
Sandwiches,g,High,2007,10.0
Sandwiches from takeaway,g,High,2007,3.0
Takeaway breads,g,High,2007,2.0
Flour,g,High,2007,54.0
"Cakes, buns and pastries",g,Low,2007,159.0
"Buns, scones and teacakes",g,Low,2007,44.0
Cakes and pastries,g,Low,2007,115.0
"Cakes and pastries, not frozen",g,Low,2007,114.0
Takeaway pastries,g,High,2007,1.0
Biscuits and crispbreads,g,Low,2007,163.0
Crispbread,g,Medium,2007,6.0
Biscuits other than chocolate,g,Low,2007,107.0
Sweet biscuits (not chocolate) and cereal bars,g,Low,2007,94.0
Cream crackers and other unsweetened biscuits,g,Medium,2007,13.0
Chocolate biscuits,g,Low,2007,49.0
Other cereals and cereal products,g,Very Low,2007,536.0
Oatmeal and oat products,g,Medium,2007,19.0
Breakfast cereals,g,Low,2007,130.0
Muesli,g,Medium,2007,19.0
High fibre breakfast cereals,g,Medium,2007,56.0
Sweetened breakfast cereals,g,Medium,2007,29.0
Other breakfast cereals,g,Medium,2007,26.0
Canned milk puddings,g,Medium,2007,28.0
Canned or fresh carton custard,g,Medium,2007,16.0
All canned milk puddings,g,High,2007,12.0
Puddings,g,High,2007,11.0
Rice,g,Medium,2007,94.0
Dried rice,g,High,2007,66.0
Cooked rice,g,Medium,2007,8.0
Takeaway rice,g,Medium,2007,20.0
"Invalid foods, slimming foods and sports foods",g,Very High,2007,3.0
Infant cereal foods,g,Very High,2007,1.0
Cakes and pastries - frozen,g,High,2007,8.0
Pasta,g,Low,2007,92.0
Canned pasta,g,High,2007,24.0
Dried and fresh pasta,g,Medium,2007,67.0
Takeaway pasta and noodles,g,Very High,2007,1.0
Pizza,g,Low,2007,73.0
"Pizzas, frozen and not frozen",g,Medium,2007,51.0
Takeaway pizza,g,High,2007,22.0
Other cereal convenience foods,g,Low,2007,71.0
"Cake, pudding and dessert mixes",g,High,2007,5.0
Cereal snacks,g,Medium,2007,17.0
"Quiches and flans, frozen and not frozen",g,High,2007,12.0
"Takeaway crisps, savoury snacks, popcorn, popadums, prawn crackers",g,Very High,2007,1.0
"Other cereal foods, frozen and not frozen",g,Low,2007,36.0
Other cereals,g,Very High,2007,6.0
Beverages,g,Low,2007,56.0
Tea,g,Medium,2007,30.0
Coffee beans and ground coffee,g,Medium,2007,4.0
Instant coffee,g,Medium,2007,13.0
Coffee essences,ml,Very High,2007,0.0
Tea and coffee from takeaway,ml,Very High,2007,1.0
Cocoa and chocolate drinks,g,High,2007,5.0
Malt drinks and chocolate versions of malted drinks,g,Very High,2007,3.0
Other food and drink,g,Medium,2007,721.0
Mineral or spring waters,ml,High,2007,258.0
Baby foods,g,Very High,2007,10.0
Soups - canned or cartons,g,Medium,2007,79.0
Soups - dehydrated or powdered,g,Very High,2007,4.0
Soups - from takeaway,g,Very High,2007,1.0
Other takeaway food brought home,g,Very High,2007,0.0
Meals on wheels - items not specified,g,Very High,2007,1.0
Spreads and dressings,g,Low,2007,42.0
Salad dressings,g,Low,2007,37.0
Other spreads and dresssings,g,High,2007,5.0
Pickles and sauces,g,Low,2007,129.0
Pickles,g,High,2007,13.0
Sauces,g,Low,2007,115.0
Takeaway sauces and mayonnnaise,g,High,2007,1.0
Stock cubes and meat and yeast extracts,g,High,2007,4.0
Jelly squares or crystals,g,High,2007,5.0
Ice cream tub or block,ml,Medium,2007,106.0
Ice cream products including takeaways,ml,Medium,2007,67.0
"Ice cream cornets, choc-ices, lollies with ice cream",ml,Medium,2007,41.0
"Ice lollies, sorbet, frozen mousse, frozen yoghurt",ml,High,2007,24.0
"Takeaway ice cream, ice cream products, milkshakes",ml,Very High,2007,2.0
Salt,g,High,2007,9.0
Soya and novel protein foods,g,High,2007,6.0
Soft drinks,ml,Low,2007,1686.0
"Soft drinks, concentrated, not low calorie [note 10]",ml,High,2007,573.0
"Soft drinks, not concentrated,  not low calorie",ml,Medium,2007,605.0
"Soft drinks, concentrated, low calorie [note 10]",ml,Medium,2007,172.0
"Soft drinks, not concentrated, low calorie",ml,Medium,2007,337.0
Confectionery,g,Low,2007,129.0
Chocolate bars - solid,g,Low,2007,32.0
Chocolate bars - filled,g,Low,2007,56.0
Chewing gum,g,High,2007,3.0
Mints and boiled sweets,g,Low,2007,35.0
Mints,g,High,2007,4.0
Boiled sweets,g,Low,2007,31.0
"Fudges, toffees, caramels",g,High,2007,3.0
Takeaway confectionery,g,Very High,2007,0.0
Alcoholic drinks,ml,Medium,2007,772.0
Beers,ml,High,2007,100.0
Lagers and continental beers,ml,Medium,2007,284.0
Ciders and perry,ml,High,2007,75.0
Wine and champagne,ml,Medium,2007,251.0
"Champagne, sparkling wines and wine with mixer",ml,High,2007,12.0
Table wine,ml,Medium,2007,239.0
Spirits with mixer,ml,Very High,2007,0.0
Fortified wines,ml,Very High,2007,12.0
Spirits,ml,Medium,2007,36.0
Liqueurs and cocktails,ml,High,2007,6.0
Alcopops,ml,Very High,2007,8.0
,,,2007,
Milk and milk products excluding cheese,ml,Very Low,2008,1957.0
"Liquid wholemilk, including school and welfare",ml,Medium,2008,420.0
"Liquid wholemilk, full price",ml,Medium,2008,410.0
UHT milk,ml,Very High,2008,9.0
Sterilised,ml,,2008,3.0
Pasteurised/ homogenised,ml,Medium,2008,399.0
School milk ,ml,,2008,
Welfare milk,ml,,2008,10.0
Other milk and cream,ml,Low,2008,1537.0
Skimmed milks,ml,Low,2008,1145.0
Fully skimmed milk,ml,Medium,2008,158.0
Semi-skimmed milk,ml,Low,2008,987.0
Condensed or evaporated milk,eq ml,High,2008,17.0
Infant milks,eq ml,Very High,2008,47.0
