food_code,units,rse_indicator,years,amount
Jams and fruit curds,g,Medium,2000,17.0
Marmalade,g,High,2000,13.0
"Syrup, treacle",g,High,2000,3.0
Honey,g,Medium,2000,4.0
"fruit and vegetables, including potatoes",g,Low,2000,3338.0
"vegetables, including potatoes",g,Very Low,2000,2149.0
fresh and processed potatoes,g,Low,2000,1002.0
Fresh potatoes,g,Low,2000,727.0
Fresh new potatoes ,g,Medium,2000,324.0
Fresh baking potatoes ,g,Medium,2000,154.0
Other fresh potatoes,g,Medium,2000,249.0
processed potatoes,g,Low,2000,275.0
Chips and takeaway chips,g,Low,2000,148.0
Chips - frozen or not frozen,g,Low,2000,121.0
Takeaway chips,g,Medium,2000,28.0
Instant potato,g,Very High,2000,2.0
Canned potatoes,g,Very High,2000,8.0
Crisps and potato snacks,g,Low,2000,65.0
"Other potato products, frozen or not frozen",g,Medium,2000,52.0
Fresh green vegetables,g,Low,2000,246.0
Fresh cabbages,g,Medium,2000,51.0
Fresh brussels sprouts,g,High,2000,15.0
Fresh cauliflower,g,Medium,2000,82.0
Leafy salads fresh,g,Low,2000,60.0
Lettuce and leafy salads,g,Medium,2000,60.0
Prepared lettuce salads,g,Medium,2000,
Fresh peas,g,High,2000,6.0
Fresh beans,g,Medium,2000,22.0
Other fresh green vegetables,g,Medium,2000,10.0
Other fresh vegetables,g,Low,2000,506.0
Fresh carrots,g,Low,2000,114.0
Fresh turnips and swede,g,High,2000,29.0
Other fresh root vegetables,g,Medium,2000,20.0
"Fresh onions, leeks and shallots",g,Low,2000,98.0
Fresh cucumbers,g,Low,2000,37.0
Fresh mushrooms,g,Low,2000,37.0
Fresh tomatoes,g,Low,2000,98.0
Miscellaneous fresh vegtables,g,Low,2000,72.0
"Fresh vegetable stewpack, stirfry pack etc.",g,High,2000,12.0
Fresh stem vegetables,g,Medium,2000,16.0
"Fresh marrow, courgettes, aubergine, pumpkin and other vegetables",g,Medium,2000,35.0
Fresh herbs,g,Medium,2000,9.0
"Tomatoes, canned or bottled",g,Medium,2000,48.0
"Peas, canned",g,Medium,2000,33.0
Beans canned,g,Medium,2000,126.0
Baked beans in sauce,g,Medium,2000,113.0
Other canned beans and pulses,g,Medium,2000,13.0
Other canned vegetables,g,Medium,2000,29.0
Dried pulses other than air-dried,g,Very High,2000,6.0
Air-dried vegetables,g,Very High,2000,1.0
Vegetable juices and purees,ml,High,2000,7.0
Tomato puree and vegetable purees,ml,Medium,2000,5.0
"Vegetable juices eg tomato juice, carrot juice",ml,Very High,2000,2.0
"Peas, frozen",g,Medium,2000,36.0
"Beans, frozen",g,Very High,2000,8.0
Ready meals and other vegetable products (inc takeaways),g,Low,2000,56.0
"Ready meals and other vegetable products, frozen or not frozen",g,Low,2000,49.0
All vegetable takeaway products,g,High,2000,7.0
